index,证券代码,open,close,high,high_limit,成交额_亿,auction_pct,prev_limit_up,next_open,次日收益率_pct
2026-04-13,002431.XSHE,2.56,2.7,2.85,2.85,3.07,-1.158301158301156,0,2.64,-2.2222222222222254
2026-04-13,003036.XSHE,26.37,27.72,29.1,29.1,9.63,-0.3024574669187041,0,28.41,2.4891774891774965
2026-04-13,603629.XSHG,73.98,72.68,79.95,79.95,39.39,1.7886626307099585,0,78.0,7.319757842597685
2026-04-13,605189.XSHG,16.36,17.85,18.49,18.49,4.51,-2.676977989292084,0,17.29,-3.1372549019607954
2026-04-13,603826.XSHG,27.28,29.2,30.29,30.29,5.61,-0.9440813362381895,0,29.32,0.4109589041095818
2026-04-13,600289.XSHG,7.35,7.68,7.74,7.74,0.96,-0.27137042062416183,0,7.68,0.0
2026-04-13,601020.XSHG,30.64,29.7,30.64,30.64,19.61,10.017953321364459,0,30.08,1.2794612794612803
2026-04-13,600655.XSHG,4.89,4.99,5.13,5.13,3.0,4.935622317596566,0,5.03,0.8016032064128265
2026-04-13,601588.XSHG,1.77,1.88,1.96,1.96,3.04,-0.5617977528089901,0,1.91,1.5957446808510634
2026-04-13,600228.XSHG,6.25,6.21,6.53,6.53,1.25,0.4823151125401992,0,6.28,1.1272141706924366
2026-04-13,605117.XSHG,98.65,103.84,108.52,108.52,62.32,0.0,0,104.59,0.7222650231124783
2026-04-13,603688.XSHG,47.0,50.57,51.9,51.9,20.89,-0.38151759220008685,0,51.01,0.8700810757366062
2026-04-13,600438.XSHG,16.26,17.57,17.92,17.92,25.4,-0.18416206261508972,0,17.5,-0.3984063745019917
2026-04-13,002329.XSHE,4.12,4.35,4.47,4.47,6.4,1.4778325123152802,0,4.41,1.379310344827589
2026-04-13,002328.XSHE,10.98,10.63,10.98,10.98,24.74,9.90990990990992,0,10.98,3.292568203198498
2026-04-13,601619.XSHG,5.32,5.63,5.73,5.73,10.57,2.1113243761996303,0,5.59,-0.7104795737122527
2026-04-13,600103.XSHG,4.29,3.99,4.29,4.29,18.96,10.000000000000009,0,3.91,-2.0050125313283207
2026-04-13,600246.XSHG,9.23,9.9,10.26,10.26,19.96,-1.0718113612004254,0,9.85,-0.5050505050505083
